,city_page
197,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
198,"{'display_name': 'Cikarangutan, Jawa Barat, Indonesia', 'id': '104277182946114'}"
199,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
200,"{'display_name': 'Karawang', 'id': '108130022542209'}"
201,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
202,"{'display_name': 'Binong, Indonesia', 'id': '136562986405352'}"
203,"{'display_name': 'Depok', 'id': '106187686078679'}"
204,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
205,"{'display_name': 'Tajurhalang, Jawa Barat, Indonesia', 'id': '109150032447317'}"
206,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
207,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
208,"{'display_name': 'Serpong, Jawa Barat, Indonesia', 'id': '108779339150483'}"
209,"{'display_name': 'Karawang', 'id': '108130022542209'}"
210,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
211,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
212,"{'display_name': 'Depok', 'id': '106187686078679'}"
213,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
214,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
215,"{'display_name': 'Depok', 'id': '106187686078679'}"
216,"{'display_name': 'Sukaraja, Indonesia', 'id': '173678406003633'}"
217,"{'display_name': 'Depok', 'id': '106187686078679'}"
218,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
219,"{'display_name': 'Setu, Jawa Barat, Indonesia', 'id': '104690112902569'}"
220,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
221,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
222,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
223,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
224,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
225,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
226,"{'display_name': 'Pebayuran, Jawa Barat, Indonesia', 'id': '104682316237509'}"
227,"{'display_name': 'Depok', 'id': '106187686078679'}"
228,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
229,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
230,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
231,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
232,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
233,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
234,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
235,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
236,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
237,"{'display_name': 'Depok', 'id': '106187686078679'}"
238,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
239,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
240,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
241,"{'display_name': 'Binong, Indonesia', 'id': '136562986405352'}"
242,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
243,"{'display_name': 'Depok', 'id': '106187686078679'}"
244,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
245,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
246,"{'display_name': 'Depok', 'id': '106187686078679'}"
247,"{'display_name': 'Depok', 'id': '106187686078679'}"
248,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
249,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
250,"{'display_name': 'Depok', 'id': '106187686078679'}"
251,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
252,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
253,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
254,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
255,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
256,"{'display_name': 'Walahar, Jawa Barat, Indonesia', 'id': '108451585851645'}"
257,"{'display_name': 'Tajurhalang, Jawa Barat, Indonesia', 'id': '109150032447317'}"
258,"{'display_name': 'Depok', 'id': '106187686078679'}"
259,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
260,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
261,"{'display_name': 'Depok', 'id': '106187686078679'}"
262,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
263,"{'display_name': 'Pulogebang, Jawa Barat, Indonesia', 'id': '100245523351175'}"
264,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
265,"{'display_name': 'Depok', 'id': '106187686078679'}"
266,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
267,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
268,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
269,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
270,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
271,"{'display_name': 'Karawang', 'id': '108130022542209'}"
272,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
273,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
274,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
275,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
276,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
277,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
278,"{'display_name': 'Tambelang, Jawa Barat, Indonesia', 'id': '110254452326007'}"
279,"{'display_name': 'Babakan Madang, Jawa Barat, Indonesia', 'id': '104332249607293'}"
280,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
281,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
282,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
283,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
284,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
285,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
286,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
287,"{'display_name': 'Legoso, Jawa Barat, Indonesia', 'id': '104329859606802'}"
288,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
289,"{'display_name': 'Karawang', 'id': '108130022542209'}"
290,"{'display_name': 'Depok', 'id': '106187686078679'}"
291,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
292,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
293,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
294,"{'display_name': 'Depok', 'id': '106187686078679'}"
295,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
296,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
297,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
298,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
299,"{'display_name': 'Citeureup, Jawa Barat, Indonesia', 'id': '109598509064869'}"
300,"{'display_name': 'Tambelang, Jawa Barat, Indonesia', 'id': '110254452326007'}"
301,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
302,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
303,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
304,"{'display_name': 'Depok', 'id': '106187686078679'}"
305,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
306,"{'display_name': 'Cibinong', 'id': '113104558704072'}"
307,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
308,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
309,"{'display_name': 'Depok', 'id': '106187686078679'}"
310,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
311,"{'display_name': 'Cibinong', 'id': '113104558704072'}"
312,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
313,"{'display_name': 'Ciater Satu, Jawa Barat, Indonesia', 'id': '112537362091281'}"
314,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
315,"{'display_name': 'Balaraja, Jawa Barat, Indonesia', 'id': '100246383349731'}"
316,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
317,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
318,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
319,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
320,"{'display_name': 'Tigaraksa, Jawa Barat, Indonesia', 'id': '108491039173552'}"
321,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
322,"{'display_name': 'Wanaherang, Jawa Barat, Indonesia', 'id': '110476345646213'}"
323,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
324,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
325,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
326,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
327,"{'display_name': 'Depok', 'id': '106187686078679'}"
328,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
329,"{'display_name': 'Depok', 'id': '106187686078679'}"
330,"{'display_name': 'Binong, Indonesia', 'id': '136562986405352'}"
331,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
332,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
333,"{'display_name': 'Depok', 'id': '106187686078679'}"
334,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
335,"{'display_name': 'Depok', 'id': '106187686078679'}"
336,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
337,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
338,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
339,"{'display_name': 'Rangkasbitung, Jawa Barat, Indonesia', 'id': '100239880017709'}"
340,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
341,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
342,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
343,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
344,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
345,"{'display_name': 'Ciomas, Jawa Barat, Indonesia', 'id': '110431382309416'}"
346,"{'display_name': 'Balaraja, Jawa Barat, Indonesia', 'id': '100246383349731'}"
347,"{'display_name': 'Depok', 'id': '106187686078679'}"
348,"{'display_name': 'Kuta, Jawa Barat, Indonesia', 'id': '112685328748866'}"
349,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
350,"{'display_name': 'Cibucil, Jawa Barat, Indonesia', 'id': '114526511891049'}"
351,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
352,"{'display_name': 'Tigaraksa, Jawa Barat, Indonesia', 'id': '108491039173552'}"
353,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
354,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
355,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
356,"{'display_name': 'Cigudeg, Jawa Barat, Indonesia', 'id': '106551902712196'}"
357,"{'display_name': 'Depok', 'id': '106187686078679'}"
358,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
359,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
360,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
361,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
362,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
363,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
364,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
365,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
366,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
367,"{'display_name': 'Depok', 'id': '106187686078679'}"
